FINAL RESEARCH FIELD — 2026-08-18
ADMITTED ZETTELS: 39

ORDER | ID | TITLE
001 | SHOT-20260817-01 | 2026-08-17 — If you want the model to act, name action as the default state.
002 | SHOT-20260817-02 | 2026-08-17 — Put the rule beside the operation it governs.
003 | SHOT-20260817-03 | 2026-08-17 — A shot becomes stronger when its legal shape exists before its content.
004 | SHOT-20260817-04 | 2026-08-17 — Call the route, not only the destination.
005 | SHOT-20260817-05 | 2026-08-17 — The prompt can call a temporary program into existence and let it disappear after the shot.
006 | SHOT-20260817-06 | 2026-08-17 — Call the shot before firing the shot.
007 | SHOT-20260817-07 | 2026-08-17 — A failure can become one new sentence in the program that governs the next attempt.
008 | SHOT-20260817-08 | 2026-08-17 — Treat the first prompt as evidence of requirements, not as the finished program.
009 | SHOT-20260817-09 | 2026-08-17 — Lint the words before paying the model to build the world.
010 | SHOT-20260817-10 | 2026-08-17 — The harness can become an executable natural-language object.
011 | SHOT-20260817-11 | 2026-08-17 — The action boundary is where steering becomes a measurable decision.
012 | SHOT-20260817-12 | 2026-08-17 — A revoked instruction needs a tombstone because language can remain behaviorally alive after deletion.
013 | SHAM-20260817-01 | 2026-08-17 — The prompt trick can become an official syntax and then become legacy.
014 | SHAM-20260817-02 | 2026-08-17 — The seed is an experimental control, not a memory of an image.
015 | SHAM-20260817-03 | 2026-08-17 — “No style” is not an absence; it is an operation against the model’s default authorship.
016 | SHAM-20260817-04 | 2026-08-17 — The recurring-character hack was a missing control surface before identity persistence became a named control.
017 | SHAM-20260817-05 | 2026-08-17 — Prompt craft began as a bug ledger written from other people’s failures.
018 | SHAM-20260817-06 | 2026-08-17 — Quotation marks turn words from instructions into things the image must contain.
019 | SHAM-20260817-07 | 2026-08-17 — “Good enough” is the missing termination operator in generative work.
020 | SHAM-20260817-08 | 2026-08-17 — “Studied ignorance” may be more durable than prompt expertise.
021 | LAW-SHAM-20260817-01 | 2026-08-17 — The broadest reasonable prompt is an adversarial construction test.
022 | LAW-SHAM-20260817-02 | 2026-08-17 — Reasonable certainty is a better prompt standard than perfect precision.
023 | LAW-SHAM-20260817-03 | 2026-08-17 — A prompt cannot be rescued after failure by treating it as a nose of wax.
024 | LAW-SHAM-20260817-04 | 2026-08-17 — The prompt needs a prosecution history, not merely a latest version.
025 | LAW-SHAM-20260817-05 | 2026-08-17 — Patent claims already have scope operators that prompt language lacks.
026 | LAW-SHAM-20260817-06 | 2026-08-17 — Antecedent basis is a theory of state reference for prompt language.
027 | LAW-SHAM-20260817-07 | 2026-08-17 — The specification is a glossary, but the prompt has no stable skilled reader.
028 | LAW-SHAM-20260817-08 | 2026-08-17 — The lawyer’s advantage in prompt language is interpretive engineering, not legalese.
029 | LAW-SHAM-20260817-09 | 2026-08-17 — The prompt is a multimodal brief, not a sentence.
030 | LAW-SHAM-20260817-10 | 2026-08-17 — A reference bank preserves identity by making its representations disagree.
031 | LAW-SHAM-20260817-11 | 2026-08-17 — When text stabilizes, randomness migrates into typography.
032 | LAW-SHAM-20260817-12 | 2026-08-17 — Copyright’s “prompt” is smaller than the practice it is trying to evaluate.
033 | LAW-SHAM-20260817-13 | 2026-08-17 — Training law breaks the “looking” metaphor into separate legally consequential uses.
034 | LAW-SHAM-20260817-14 | 2026-08-17 — PromptCraft is case law before it is a manual.
035 | LAW-SHAM-20260817-08-A | 2026-08-17 — The thing that travels between professions may be a discrimination, not a technique.
036 | LAW-SHAM-20260817-08-B | 2026-08-17 — Shambibble's lawyerly ear is not his alone: prompt expertise may be a collective sensibility forming around the machine.
037 | LAW-SHAM-20260817-08-C | 2026-08-17 — Professional expertise does not merely see more; it organizes what counts as something to see.
038 | LAW-SHAM-20260817-08-D | 2026-08-17 — Prompt leadership may require speaking a practice-language one cannot personally enact.
039 | LAW-SHAM-20260817-08-E | 2026-08-17 — The professional eye that sees one failure earlier may become blind to another.
