Platform ID,Platform Name,Key Concept,Example,Argument,Quote,Historic Precedent,Critique,Key Features
viljoen_2021_relational_data_governance.platform1,The Centrality of Data in Informational Capitalism,Data as a key feature of informational capitalism.,Data's role in digital advertising and content platforms.,Data has become essential for generating economic value.,"""Data about people produces revenue in three ways.""",Prior conceptualizations of informational capitalism.,Focusing solely on economic value can ignore other effects.,"Commodification of data, data as capital, behavioral manipulation."
viljoen_2021_relational_data_governance.platform2,Failures of Individualized Approaches to Data Governance,The limits of individual rights in addressing collective issues.,California Consumer Privacy Act (CCPA).,Individual rights can't address social inequality from data.,"Individualist rights ""are structurally incapable of representing"" social effects.",Fair Information Practice Principles (FIPPs).,Some individual rights remain crucial alongside collective governance.,"Notice-and-consent, control vs. justice."
viljoen_2021_relational_data_governance.platform3,Data Relations and Population Effects,Relating people through data patterns.,Targeted behavioral advertising.,Data insights relate people to populations.,"Data aims ""to put people into population-based relations.""","Price discrimination, redlining.",Focusing solely on groups risks missing individual nuances.,"Data externalities, horizontal vs. vertical data flows."
viljoen_2021_relational_data_governance.platform4,Data Governance as Democratizing Data Relations,Data governance through democratic representation.,Public utilities regulation.,We must balance interests in how our data interrelates us.,"Data governance requires ""far more democratic forms of governing.”",Collective governance of shared resources.,Implementing data democracy involves practical difficulties.,"Collective interests, overlapping concerns, social reproduction."
viljoen_2021_relational_data_governance.platform5,Datafication as Dispossession and Extraction,Data extraction akin to resource dispossession.,Colonialism and strip mining.,Data extraction extracts from collective social resources.,"People's lives ""invaded and strip mined for profit.”","Natural-resource dispossession, enclosures.",These comparisons arguably minimize colonial harms.,"Accumulation, dispossession, asymmetric power."
viljoen_2021_relational_data_governance.platform6,Data Production’s Dual Capacities for Injustice and Justice,Data can enact both social injustice and social goods.,Discriminatory targeting vs. improved accessibility.,Data amplifies inequality but also affords social benefits.,"Data relations ""drive much of the social value and harm.”",Historic inequality as well as public goods.,Benefits often accrue unevenly along existing privilege.,"Externalities, dual edge effects, uneven gains."
viljoen_2021_relational_data_governance.platform7,The Relational Nature of Data,"Data's value lies in its ability to reveal insights about populations, not just individuals.",Using one person's tattoo image data to identify potential gang members in a population.,Data production in the digital economy exploits horizontal data relations between populations.,"""Data flows are useful when they relate people to one another.""",,Focusing only on vertical data relations misses how value is created via horizontal relations.,"Relational, population-level, externalities."
viljoen_2021_relational_data_governance.platform8,Interest Misalignment in Data Transactions,Mismatch between data subjects' and collectors' interests.,Person sharing tattoo data voluntarily while others face consequences.,Data subjects can't exert coercive force despite collectors' incentives to exploit horizontal relations.,"""Data subjects possess only a fraction of the interests in a given data flow.""",,Issue isn't just coercive power mismatch but unrepresented interests driving collection.,"Structural mismatch, aggregated effects, weakly aligned interests."
viljoen_2021_relational_data_governance.platform9,Group Identity and Operationalization,Sorting people into categories is core to deriving economic value.,Using tattoo recognition to identify gang membership.,People are apprehended via classifications which are operationalized by data systems.,"""Data flows classify and sort people along particular categories...""",,This denies individual identity and agency.,"Classification, prediction, behavioral modification."
viljoen_2021_relational_data_governance.platform10,Rethinking Externalities,Horizontal relations wrongly viewed as externalities.,Companies motivated to exploit relations that transactions don't account for.,"Relationality central to realizing economic value, not a byproduct.","""[Not] conceiving these effects as 'external' to the purposes and uses of data...""",,Misdiagnoses a feature as a bug rather than recognizing the incentives created.,"Core business model, aggregated insights, incentive mismatch."
viljoen_2021_relational_data_governance.platform11,Relevance for Law,Data law's focus on individualism causes sociality problem.,Rights enhancing vertical relation may not help third parties.,"Without attending to horizontal relations, reforms may fail to discipline data production.","""Data-governance law’s conceptual commitment to individualism (DIM).""",,Still grounds social benefits in self-determination rather than collective interests.,"Atomism, unrepresented stakeholders, unaddressed risks."
viljoen_2021_relational_data_governance.platform12,Horizontal Data Relations,The importance of population-level data relations.,Data collected from one person being used to make inferences about others.,"Current data governance focuses too much on vertical data relations between individuals and companies, neglecting horizontal relations between individuals that lead to externalities and unevenly distributed risks.","""While horizontal data relations are of primary importance in explaining why data collectors develop infrastructures to collect and monetize data flows, they do not feature much, if at all, in how current data-governance law allocates claims, privileges, and duties among actors in the digital economy.""",The use of census and population data by states for social control.,Accounting for all horizontal data relations may be impractical.,"Relational, collective, exterior."
viljoen_2021_relational_data_governance.platform13,Data as Individual Medium (DIM),Data governance that conceives of data and rights atomistically.,Propertarian and dignitarian reforms.,Reforms that reduce legal interests in data to individualist remedies cannot address issues arising from horizontal data relations.,"""[B]oth propertarian and dignitarian reforms still conceive of data as an individual medium (DIM)...structurally incapable of representing the population-level interests that arise due to data-horizontal relations.""",Failures of individualistic policy solutions.,Some individual harms may still need to be addressed.,"Atomized, dignified, ownable."
viljoen_2021_relational_data_governance.platform14,Propertarian Data Reforms,Treating data as ownable property.,Data dividends and data marketplaces.,"Formalizing property rights over data can help achieve efficiency, control, and wealth redistribution.","""Data governance, therefore, becomes the governance (via contract law, property law, employment law, and labor law) of property relations or wage relations.""",Extending property rights to previously unowned resources.,May further erode privacy and mainly benefit data companies.,"Alienability, monetization, commodification."
viljoen_2021_relational_data_governance.platform15,Dignitarian Data Reforms,Treating data as an extension of the self.,Inalienable data rights and consent requirements.,Data protections should be akin to fundamental civil rights that respect human dignity.,"""[D]atafication and data extraction represent the end of the relationship we enjoy with our innermost selves.""","Rights to privacy, autonomy and self-determination.",Still focuses on harms to individuals over society.,"Sacredness, inviolability, personhood."
